Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.000485951,0.002921254,0.029298294,0.049020891,0.073868897,0.494881245,1.8604,4.30062,8.95097,,,,16.2,19.7,23.0,27.43,31.8,39.6489,46.91,54.17,59.0163,62.2304,71.113,74.4364,79.1299,82.7892,85.0879,86.8884,89.5073,91.5125
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.04539718,0.882807327,1.288582302,2.091516391,4.076740564,5.96384,,5.68425,,9.8,17.0,24.0,24.6,26.3,27.2,28.2,30.7,31.0,33.6,38.7,41.59,44.5757,47.0826,49.8,53.3,57.0987,65.0198,70.354,
Bermuda,BMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,6.838163465,16.20246602,24.18925674,32.10375935,39.94758876,42.9499,47.5097,52.0316,56.522,60.9909,65.4471,69.8997,74.3506,82.3,83.25,84.21,88.336,91.2993,95.3,96.8,98.3236,98.0,98.37,,,,,,
Bolivia,BOL,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.066807568,0.196081174,0.447839036,0.626484062,0.981815187,1.44276,2.12046,3.11719,3.5086,4.43992,5.22758,6.20067,10.4992,12.5,16.8,22.4,30.0,35.34,36.99,34.6016,37.4868,39.6975,43.8323,44.2861,47.4748,59.9401,65.9774,73.2831,
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.003288171,0.012946262,0.025498253,0.037672709,0.105138168,0.450789179,0.786079155,1.477874959,2.038732184,2.87069,4.52849,9.14943,13.2076,19.0737,21.0227,28.1784,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.551,58.328,60.8725,67.4713,70.4343,73.9124,81.3427,80.6899,80.5278,84.1506
Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.007752238,0.389464214,0.783428912,1.970249237,2.376247035,3.97368,11.9365,27.8363,39.6896,49.8,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,71.9,72.0,72.2,72.3,72.4,72.6,72.6766,74.8596,76.2053,
Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,1.017080166,3.303349927,4.831057905,6.284742844,7.671041206,8.99628,12.9178,15.3299,19.595,29.7156,36.4664,42.1863,44.68,46.0,49.0,53.0,56.0,60.2731,64.5,68.77,71.2,90.0,94.8667,95.0,95.0,95.0503,95.6225,98.9704,
Bhutan,BTN,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.137571514,0.400944,0.864629,1.6758,2.43691,3.15698,3.84711,4.51832,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8,46.5,54.3,63.5,74.1794,76.8508,85.6369,86.8403,
Botswana,BWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.064521041,0.15745423,0.30774685,0.602400929,1.122391474,2.90267,3.43089,3.38592,3.34519,3.30489,3.26255,4.28993,5.28,6.25,6.15,6.0,9.0,16.0,30.0,36.7447,37.3121,39.363,41.4138,58.0,64.8263,67.4756,75.2388,77.3272,
Central African Republic,CAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.005849503,0.014270881,0.027878201,0.040894287,0.0533942,0.0785434,0.128537,0.151563,0.223401,0.268196,0.311159,0.375816,1.0,1.8,2.0,2.2,2.4,2.5,2.7,2.9,3.1,4.0,5.1,7.50916,8.565672483,10.58263964,,
